table,fig,section,name,translation,carpet,type,note
19,13,,Дәвә,Верблюд,Конахкенд,К.-Ш,
19,14,,Куван,?,Кобыстан,К.-Ш,Это слово означает «караван».
19,15,,Дәвә,Верблюд,Карабах,Кар.,
20,1,,Ордәк,Утка,Куба,К.-Ш,
20,2,,Газ,Гусь,Ширван,К.-Ш,Скорее всего это изображение утки.
20,3,,Ордәк,Утка,Арсалан,К.-Ш,Изображение утки характерно для конахкендских ковров.
20,4,,Ордәк,Утка,Ордудж,К.-Ш,
20,5,,Ордәк,Утка,Арсалан,К.-Ш,
20,6,,Гошагуш,Парная птица,Куба,К.-Ш,Симметричное изображение двухголовой птицы.
20,7,,Ордәк,Утка,Ширван,К.-Ш,
20,8,,Ордәк,Утка,Гымыл,К.-Ш,Напоминает плавающую утку.
20,9,,Ордәк,Утка,Сор-сор,К.-Ш,
20,10,,Газ,Гусь,Зейва,К.-Ш,
20,11,,Ордәк,Утка,Алпан,К.-Ш,Больше напоминает изображение гуся.
20,12,,Ордәк,Утка,Ширван,К.-Ш,
21,1,,Фәрә,Цыпленок,Карабах,Кар.,
21,2,,Тоюг,Курица,Ширван,К.-Ш,
21,3,,Джуджә,Цыпленок,Гырыз,К.-Ш,
21,4,,Хоруз,Петух,Конахкенд,К.-Ш,
21,5,,Кәклик,Куропатка,Ордудж,К.-Ш,"По всей вероятности, это голубь."
21,6,,Гуш,Птица,Арджиман,К.-Ш,
21,7,,Гуш,Птица,Куба,К.-Ш,
21,8,,Чалаган,Коршун,Гымыл,К.-Ш,Встречается в бордюре бакинских ковров.
21,9,,Хоруз,Петух,Карабах,Кар.,
21,10,,Тоюг,Курица,Хила,К.-Ш,
21,11,,?,,Казах,Г.-К,Напоминает поющего петуха.
21,12,,Тоюг,Курица,Хила,К.-Ш,
21,13,,Газ,Гусь,Ханлыг,Кар.,
21,14,,Хоруз,Петух,Сараб,Теб.,
21,15,,Гыргоул,Тетерев,Мугань,Кар.,
22,1,,Дәвә,Верблюд,Пиребедиль,К.-Ш,Скорее всего это индейка.
22,2,,Дәвә,Верблюд,Пиребедиль,К.-Ш,См. в примечании рис. № 1 той же таблицы.
22,3,,Дәвә,Верблюд,Пиребедиль,К.-Ш,См. на примечания выше.
22,4,,Гуш,Птица,Мугань,Кар.,Взято из декора верни и зили.
22,5,,Гуш,Птица,Гянджа,Г.-К,Встречается также и в карабахских вышивках.
22,6,,Тоус,Павлин,Шахназарли,К.-Ш,Встречается больш. частью в ковре «Арджиман».
22,7,,Гуш,Птица,Мугань,Кар.,Встречается также в ковре «Борчалы» Казахской группы.
23,1,,Нахыш,Узор,Ширван,К.-Ш,Леденец в виде птицы.
23,2,,Гуш,Птица Ширван К.-Ш Напоминает детскую,игрушку,—,"петушка, вырезанного из дерева."
23,3,,Хаштархан,тоюгу Индейка,Карабах,Кар.,Взято из декора верни и зили.
23,4,,Гёл,ортасы Центр медальона,Кабала,К.-Ш,"Возможно, это летучая мышь."
23,5,,Гуш,Птица,Самух,Г.-К,"Напоминает птицу, вырезанную из дерева."
24,1,,Гуш,Птица,Ширван,К.-Ш,Напоминает черного ворона.
24,2,,Гуш,"Птица Мугань Кар. Символическое изображение двух птиц,",означающее,—,любовь.
24,3,,Гуш,Птица,Биджо,К.-Ш,
24,4,,Гуш,Птица,Арджиман,К.-Ш,Напоминает летящую птицу.
24,5,,Гуш,Птица,Сураханы,К.-Ш,Больше напоминает сидящую кошку.
24,6,,Кәклик,Куропатка,Ханлыг,Кар.,
24,7,,Гуш,Птица,Биджо,К.-Ш,
24,8,,Тутугушу,Попугай,Лампа,Кар.,"Этот элемент применяется только в комплекте даст-хали-гебе «Лампа», производившегося в XIX в. в Шуше."
24,9,,Гәрәлә,Жаворонок,Бахчадагыоллер,Кар.,Жаворонок является символом радостной вести.
24,10,,Бюльбюль,Соловей,Багчадагыоллер,Кар.,Этот элемент относится к XIX в.
24,11,,Сары,бюльбюль Желтый соловей,Ширван,К.-Ш,
25,1,,Шахәгюлю,Веточка с цветком,Хила,К.-Ш,
25,2,,Гошалар,Парные Карабах и,Ширван,,
25,3,,Бута,Бута,Ширван,К.-Ш,Парное изображение птицы. Взято из карабахских зили и верни.
25,4,,Бута,Бута,Фындыган,К.-Ш,Взято из бакинского зили.
26,1,,?,,Казах,Г.-К,Напоминает бабочку.
26,2,,Кепенек,Бабочка,Чичи,К.-Ш,
26,3,,Кәпәнәк,Бабочка,Карабах,Кар.,
26,4,,Хорумчек,Паук,Гянджа,Г.-К,
26,5,,Ары,Оса,Карабах,Кар.,
26,6,,Гырхааг,Сороконожка,Фатмаи,К.-Ш,
26,7,,Пәрванә,Ночная бабочка,Ширван,К.-Ш,Скорее всего это оса.
26,8,,Ары,Оса,Ширван,К.-Ш,Встречается и в муганских коврах.
26,9,,Ары,Оса,Шилян,К.-Ш,
26,10,,Ары,Оса,Ширван,К.-Ш,Вид осы спереди.
26,11,,Ары,Оса,Ширван,К.-Ш,Встречаются и в коврах Иранского Азербайджана.
27,1,,Нал,Подкова,Гасымушагы,Кар.,Подкова в народе является символом изобилия.
27,2,,Ченгель,Крюк,Гянджа,Г.-К,
27,3,,Китаб,Книга,Карабах,Кар.,"Возможно это рехиль, т. е. деревянная подставка для книг."
27,4,,Ягдан,Масленка,Гаджигаиб,К.-Ш,Напоминает форму кувшинчика.
27,5,,Байраг,Знамя,Гянджа,Г.-К,
27,6,,Елпик,Веер,Карабах,Кар.,
27,7,,Фыр-фыра,Вертушка,Пиребедиль,К.-Ш,По форме своей напоминает ветряную мельницу.
27,8,,Фыр-фыра,Вертушка,Сальяны,К.-Ш,
27,9,,Вәл,Молотильная доска,Самух,Г.-К,Напоминает узор украинских вышивок.
27,10,,Вәл,Молотильная доска,Карабах,Кар.,
27,11,,Башлыг,Железный наконечник,Гасымушагы,Кар.,Головка топора или секиры.
27,12,,?,,Карагашлы,К.-Ш,По-видимому это секира или наконечник какого-нибудь оружия.
27,13,,Оджаг,Очаг,Конахкенд,К.-Ш,"В Карабахе он называется «Мектебоджагы», т. е. «Школьный очаг»."
27,14,,Оджаг,Очаг,Джемджемли,К.-Ш,
28,1,,Дараг,Гребень,Карабах,Кар.,
28,2,,Дараг,Гребень,Биджо,К.-Ш,
28,3,,Дараг,Гребень,Карагоюнлу,Кар.,
28,4,,Саккал,дарагы Гребень для бороды,Ширван,К.-Ш,В карабахских молитвенных коврах (намазлыках) встречается чаще.
28,5,,Саккал,дарагы Гребень для бороды,Карабах,Кар.,
28,6,,Дараг,Гребень,Конахкенд,К.-Ш,Напоминает старое сельскохозяйственное орудие
28,7,,Готаз,Кисточка,Гянджа,Г.-К,
28,8,,Готаз,Кисточка,Салахлы,Г.-К,
28,9,,Зорхана,Зорхана,Хан-Карабах,Кар.,
28,10,,Зорхана,Зорхана,Хан-Карабах,Кар.,Название заведения для гимнастических занятий на Востоке.
29,1,,Койнек,Рубаха Кохна,Куба,К.-Ш,Напоминает род азербайджанской одежды с длинными рукавами «чапкен».
29,2,,Койнек,Рубаха Кохна,Куба,К.-Ш,
29,3,,Говлуг,Сумка,Сураханы,К.-Ш,"Видимо, это изображение птичьей клетки."
29,4,,Чичек,"Цветок Чичи К.-Ш По всей вероятности, это изображение",медальона,—,женского украшения.
29,5,,Мешәл,Факел,Джагырлы,К.-Ш,Применяется в религиозных процессах или во время празднеств.
29,6,,Башмаг,Башмак,Конахкенд,К.-Ш,
29,7,,Джефте,Дверная скоба,Куба,К.-Ш,
29,8,,Мохур,Мохур,Кюрд,Кар.,"Плоский кружочек глины из святых мест, к которому прикладываются лбами при совершении земных поклонов во время молитвы."
29,9,,Мохур,Мохур,Кобыстан,К.-Ш,
29,10,,Джефте,Скоба,Карабах,Кар.,
